# AS|ObservedPolicies|GeralPolicy
13335|2;1;3;0|Mixed
56203|0|NoPrepend
2519|0;2|Mixed
18144|0|NoPrepend
23969|0;2|Mixed
9737|0;1|Mixed
4134|0;2;1|Mixed
133948|0|NoPrepend
24151|0|NoPrepend
18046|0|NoPrepend
133741|0|NoPrepend
133955|0|NoPrepend
63849|0|NoPrepend
4725|0|NoPrepend
9583|0|NoPrepend
65535|0|NoPrepend
38345|0|NoPrepend
4788|0;2|Mixed
18313|0|NoPrepend
38091|2;1;0|Mixed
45996|0|NoPrepend
38669|0|NoPrepend
17839|0|NoPrepend
18245|0;2|Mixed
4847|0;1|Mixed
9700|0|NoPrepend
23600|0;1|Mixed
23599|1;0|Mixed
23596|0|NoPrepend
56120|0|NoPrepend
45528|0;1;2|Mixed
4837|2;0|Mixed
64050|0;2;1|Mixed
133731|1;2;3;0|Mixed
2514|2|Binary
3462|0|NoPrepend
4760|2;0|Mixed
4775|2;0|Mixed
38266|0|NoPrepend
4804|0;2|Mixed
7474|0|NoPrepend
45083|0|NoPrepend
24378|0|NoPrepend
4538|3;1;2;0|Mixed
18403|0;2;3|Mixed
9444|0|NoPrepend
9605|0|NoPrepend
134768|0|NoPrepend
134418|0|NoPrepend
17429|0|NoPrepend
17964|0;1;2|Mixed
9395|0|NoPrepend
4766|2;0;3|Mixed
37903|0|NoPrepend
23724|0|NoPrepend
4808|0;2;1|Mixed
59034|0|NoPrepend
1221|0|NoPrepend
9845|0|NoPrepend
10066|0|NoPrepend
17577|0|NoPrepend
10037|0|NoPrepend
9697|0|NoPrepend
9723|1;2;0|Mixed
131293|0;2;1|Mixed
137053|0|NoPrepend
134166|0|NoPrepend
45769|0;1;2;3|Mixed
17443|0|NoPrepend
45271|0;1|Mixed
24157|0;2;3;1|Mixed
38099|0|NoPrepend
9286|0|NoPrepend
17604|0|NoPrepend
3786|2;0|Mixed
45376|0|NoPrepend
18305|0;2;1|Mixed
55633|0|NoPrepend
9684|0|NoPrepend
9771|0|NoPrepend
38132|0;2|Mixed
9638|0|NoPrepend
55627|0|NoPrepend
7562|0;2|Mixed
9318|2;0|Mixed
55586|0|NoPrepend
55615|0|NoPrepend
9647|1;2|Mixed
9973|0|NoPrepend
9849|0|NoPrepend
9851|0|NoPrepend
10064|0|NoPrepend
55602|0|NoPrepend
17873|0|NoPrepend
45980|0|NoPrepend
23579|0|NoPrepend
10167|0|NoPrepend
38122|0|NoPrepend
9944|0|NoPrepend
16477|0|NoPrepend
38123|0|NoPrepend
4665|0|NoPrepend
18314|0|NoPrepend
38396|0|NoPrepend
38390|0|NoPrepend
38392|0|NoPrepend
38394|0|NoPrepend
38697|0|NoPrepend
9272|0|NoPrepend
18317|0|NoPrepend
38402|0|NoPrepend
38400|0|NoPrepend
