#date|afrinic|apnic|arin|lacnic|ripencc
20180415|265|1356|3474|1659|4849
20180515|265|1355|3741|1681|4840
20180615|273|1356|3605|1651|4940
20180715|276|1395|3630|1712|4994
20180815|290|1441|3276|1747|5015
20180915|286|1447|3311|1780|5003
20181015|301|1487|3681|1806|4980
20181115|304|1495|3339|1840|4839
20181215|318|1497|3898|1928|5148
20190115|315|1492|3412|1865|4872
20190215|279|1456|3026|1774|4448
20190315|302|1341|3710|1888|4801
20190415|320|1599|4252|2019|5750
20190515|340|1615|4317|2071|5791
20190615|330|1641|4352|2042|5907
20190715|339|1647|4362|2097|5998
20190815|355|1658|4387|2158|5966
20190915|343|1672|4342|2218|6004
20191015|349|1682|4344|2281|6003
20191115|348|1721|4588|2333|6136
20191215|346|1715|4242|2292|6056
20200115|356|1737|4421|2315|6228
20200215|336|1790|4454|2335|6273
20200315|340|1762|4262|2397|6091
20200415|363|1765|4320|2521|6186
