# Date|afrinic|apnic|arin|lacnic|ripencc|totalLocated|notFound|totalAnalyzed
20180415|1.88|14.43|30.01|11.61|41.56|99.50|0.50|60535
20180515|1.88|14.50|29.90|11.74|41.43|99.44|0.56|60890
20180615|1.91|14.50|29.84|11.88|41.43|99.55|0.45|61016
20180715|1.92|14.57|29.73|12.00|41.37|99.58|0.42|61192
20180815|1.94|14.56|29.64|12.07|41.39|99.59|0.41|61525
20180915|1.95|14.73|29.46|12.19|41.24|99.57|0.43|61906
20181015|1.94|14.70|29.40|12.26|41.18|99.49|0.51|62215
20181115|1.96|14.76|29.27|12.46|41.05|99.50|0.50|62543
20181215|1.97|14.90|29.12|12.58|40.99|99.56|0.44|62832
20190115|1.95|14.96|29.06|12.68|40.90|99.55|0.45|63037
20190215|1.97|15.03|28.97|12.77|40.86|99.61|0.39|63301
20190315|1.98|15.10|28.98|12.87|40.75|99.68|0.32|63611
20190415|1.97|15.12|28.83|12.94|40.69|99.55|0.45|63995
20190515|1.98|15.21|28.72|13.05|40.58|99.54|0.46|64349
20190615|1.99|15.17|28.63|13.15|40.52|99.47|0.53|64673
20190715|2.01|15.27|28.52|13.28|40.42|99.49|0.51|64990
20190815|2.02|15.24|28.42|13.38|40.37|99.43|0.57|65357
20190915|2.03|15.38|28.28|13.48|40.30|99.47|0.53|65748
20191015|2.01|15.31|28.23|13.62|40.33|99.50|0.50|65961
20191115|2.01|15.38|28.11|13.72|40.25|99.47|0.53|66314
20191215|2.04|15.40|28.05|13.85|40.15|99.49|0.51|66600
20200115|2.04|15.45|27.98|13.96|40.07|99.51|0.49|66877
20200215|2.05|15.44|27.89|14.08|40.03|99.48|0.52|67171
20200315|2.05|15.51|27.76|14.21|39.97|99.50|0.50|67518
20200415|2.05|15.56|27.67|14.36|39.88|99.52|0.48|67844
