        # QUANTITATIVE #
# Date|totalases|geralprep|noprep
20180415|1139|305|834
20180515|1144|299|845
20180615|1164|298|866
20180715|1174|309|865
20180815|1194|318|876
20180915|1207|314|893
20181015|1207|329|878
20181115|1224|329|895
20181215|1235|345|890
20190115|1227|347|880
20190215|1249|313|936
20190315|1262|326|936
20190415|1262|344|918
20190515|1273|361|912
20190615|1289|354|935
20190715|1304|368|936
20190815|1322|382|940
20190915|1334|373|961
20191015|1328|381|947
20191115|1336|385|951
20191215|1356|383|973
20200115|1367|392|975
20200215|1376|374|1002
20200315|1386|382|1004
20200415|1392|397|995
        # PERCENTAGE #
# Date|totalases|geralprep|noprep
20180415|1139|26.78|73.22
20180515|1144|26.14|73.86
20180615|1164|25.60|74.40
20180715|1174|26.32|73.68
20180815|1194|26.63|73.37
20180915|1207|26.01|73.99
20181015|1207|27.26|72.74
20181115|1224|26.88|73.12
20181215|1235|27.94|72.06
20190115|1227|28.28|71.72
20190215|1249|25.06|74.94
20190315|1262|25.83|74.17
20190415|1262|27.26|72.74
20190515|1273|28.36|71.64
20190615|1289|27.46|72.54
20190715|1304|28.22|71.78
20190815|1322|28.90|71.10
20190915|1334|27.96|72.04
20191015|1328|28.69|71.31
20191115|1336|28.82|71.18
20191215|1356|28.24|71.76
20200115|1367|28.68|71.32
20200215|1376|27.18|72.82
20200315|1386|27.56|72.44
20200415|1392|28.52|71.48
