        # QUANTITATIVE #
# Date|totalases|geralprep|noprep
20180415|8736|2369|6367
20180515|8827|2363|6464
20180615|8847|2421|6426
20180715|8915|2488|6427
20180815|8959|2527|6432
20180915|9116|2581|6535
20181015|9147|2620|6527
20181115|9231|2640|6591
20181215|9365|2711|6654
20190115|9430|2725|6705
20190215|9514|2685|6829
20190315|9607|2600|7007
20190415|9676|2935|6741
20190515|9788|2965|6823
20190615|9813|3002|6811
20190715|9923|3020|6903
20190815|9959|3069|6890
20190915|10109|3090|7019
20191015|10101|3103|6998
20191115|10196|3165|7031
20191215|10258|3170|7088
20200115|10335|3217|7118
20200215|10368|3258|7110
20200315|10469|3237|7232
20200415|10557|3252|7305
        # PERCENTAGE #
# Date|totalases|geralprep|noprep
20180415|8736|27.12|72.88
20180515|8827|26.77|73.23
20180615|8847|27.37|72.63
20180715|8915|27.91|72.09
20180815|8959|28.21|71.79
20180915|9116|28.31|71.69
20181015|9147|28.64|71.36
20181115|9231|28.60|71.40
20181215|9365|28.95|71.05
20190115|9430|28.90|71.10
20190215|9514|28.22|71.78
20190315|9607|27.06|72.94
20190415|9676|30.33|69.67
20190515|9788|30.29|69.71
20190615|9813|30.59|69.41
20190715|9923|30.43|69.57
20190815|9959|30.82|69.18
20190915|10109|30.57|69.43
20191015|10101|30.72|69.28
20191115|10196|31.04|68.96
20191215|10258|30.90|69.10
20200115|10335|31.13|68.87
20200215|10368|31.42|68.58
20200315|10469|30.92|69.08
20200415|10557|30.80|69.20
