        # QUANTITATIVE #
# Date|totalases|geralprep|noprep
20180415|18167|3960|14207
20180515|18204|4226|13978
20180615|18207|4128|14079
20180715|18194|4165|14029
20180815|18233|3836|14397
20180915|18239|3903|14336
20181015|18291|4221|14070
20181115|18308|3896|14412
20181215|18299|4419|13880
20190115|18318|3960|14358
20190215|18340|3602|14738
20190315|18433|4216|14217
20190415|18450|4742|13708
20190515|18484|4810|13674
20190615|18518|4861|13657
20190715|18534|4875|13659
20190815|18574|4894|13680
20190915|18594|4842|13752
20191015|18619|4845|13774
20191115|18642|5089|13553
20191215|18682|4762|13920
20200115|18711|4930|13781
20200215|18733|4958|13775
20200315|18744|4774|13970
20200415|18774|4845|13929
        # PERCENTAGE #
# Date|totalases|geralprep|noprep
20180415|18167|21.80|78.20
20180515|18204|23.21|76.79
20180615|18207|22.67|77.33
20180715|18194|22.89|77.11
20180815|18233|21.04|78.96
20180915|18239|21.40|78.60
20181015|18291|23.08|76.92
20181115|18308|21.28|78.72
20181215|18299|24.15|75.85
20190115|18318|21.62|78.38
20190215|18340|19.64|80.36
20190315|18433|22.87|77.13
20190415|18450|25.70|74.30
20190515|18484|26.02|73.98
20190615|18518|26.25|73.75
20190715|18534|26.30|73.70
20190815|18574|26.35|73.65
20190915|18594|26.04|73.96
20191015|18619|26.02|73.98
20191115|18642|27.30|72.70
20191215|18682|25.49|74.51
20200115|18711|26.35|73.65
20200215|18733|26.47|73.53
20200315|18744|25.47|74.53
20200415|18774|25.81|74.19
