        # QUANTITATIVE #
# Date|totalases|geralprep|noprep
20180415|7031|1809|5222
20180515|7146|1830|5316
20180615|7246|1825|5421
20180715|7340|1893|5447
20180815|7424|1920|5504
20180915|7546|1965|5581
20181015|7629|1997|5632
20181115|7791|2033|5758
20181215|7902|2111|5791
20190115|7994|2056|5938
20190215|8085|1976|6109
20190315|8185|2054|6131
20190415|8283|2189|6094
20190515|8396|2250|6146
20190615|8505|2299|6206
20190715|8628|2351|6277
20190815|8743|2402|6341
20190915|8866|2464|6402
20191015|8982|2546|6436
20191115|9096|2597|6499
20191215|9225|2558|6667
20200115|9334|2578|6756
20200215|9458|2589|6869
20200315|9597|2642|6955
20200415|9742|2757|6985
        # PERCENTAGE #
# Date|totalases|geralprep|noprep
20180415|7031|25.73|74.27
20180515|7146|25.61|74.39
20180615|7246|25.19|74.81
20180715|7340|25.79|74.21
20180815|7424|25.86|74.14
20180915|7546|26.04|73.96
20181015|7629|26.18|73.82
20181115|7791|26.09|73.91
20181215|7902|26.71|73.29
20190115|7994|25.72|74.28
20190215|8085|24.44|75.56
20190315|8185|25.09|74.91
20190415|8283|26.43|73.57
20190515|8396|26.80|73.20
20190615|8505|27.03|72.97
20190715|8628|27.25|72.75
20190815|8743|27.47|72.53
20190915|8866|27.79|72.21
20191015|8982|28.35|71.65
20191115|9096|28.55|71.45
20191215|9225|27.73|72.27
20200115|9334|27.62|72.38
20200215|9458|27.37|72.63
20200315|9597|27.53|72.47
20200415|9742|28.30|71.70
