        # QUANTITATIVE #
# Date|totalases|geralprep|noprep
20180415|25157|5623|19534
20180515|25227|5539|19688
20180615|25279|5703|19576
20180715|25313|5756|19557
20180815|25463|5782|19681
20180915|25530|5798|19732
20181015|25622|5777|19845
20181115|25676|5624|20052
20181215|25753|5995|19758
20190115|25785|5752|20033
20190215|25863|5429|20434
20190315|25921|5808|20113
20190415|26037|6477|19560
20190515|26110|6521|19589
20190615|26207|6650|19557
20190715|26268|6728|19540
20190815|26384|6710|19674
20190915|26499|6734|19765
20191015|26600|6733|19867
20191115|26691|6838|19853
20191215|26739|6759|19980
20200115|26799|6951|19848
20200215|26889|6992|19897
20200315|26987|6823|20164
20200415|27055|6925|20130
        # PERCENTAGE #
# Date|totalases|geralprep|noprep
20180415|25157|22.35|77.65
20180515|25227|21.96|78.04
20180615|25279|22.56|77.44
20180715|25313|22.74|77.26
20180815|25463|22.71|77.29
20180915|25530|22.71|77.29
20181015|25622|22.55|77.45
20181115|25676|21.90|78.10
20181215|25753|23.28|76.72
20190115|25785|22.31|77.69
20190215|25863|20.99|79.01
20190315|25921|22.41|77.59
20190415|26037|24.88|75.12
20190515|26110|24.98|75.02
20190615|26207|25.37|74.63
20190715|26268|25.61|74.39
20190815|26384|25.43|74.57
20190915|26499|25.41|74.59
20191015|26600|25.31|74.69
20191115|26691|25.62|74.38
20191215|26739|25.28|74.72
20200115|26799|25.94|74.06
20200215|26889|26.00|74.00
20200315|26987|25.28|74.72
20200415|27055|25.60|74.40
