# Date|afrinic|apnic|arin|lacnic|ripencc|totalLocated|notFound|totalAnalyzed
20180415|1139|8736|18167|7031|25157|60230|305|60535
20180515|1144|8827|18204|7146|25227|60548|342|60890
20180615|1164|8847|18207|7246|25279|60743|273|61016
20180715|1174|8915|18194|7340|25313|60936|256|61192
20180815|1194|8959|18233|7424|25463|61273|252|61525
20180915|1207|9116|18239|7546|25530|61638|268|61906
20181015|1207|9147|18291|7629|25622|61896|319|62215
20181115|1224|9231|18308|7791|25676|62230|313|62543
20181215|1235|9365|18299|7902|25753|62554|278|62832
20190115|1227|9430|18318|7994|25785|62754|283|63037
20190215|1249|9514|18340|8085|25863|63051|250|63301
20190315|1262|9607|18433|8185|25921|63408|203|63611
20190415|1262|9676|18450|8283|26037|63708|287|63995
20190515|1273|9788|18484|8396|26110|64051|298|64349
20190615|1289|9813|18518|8505|26207|64332|341|64673
20190715|1304|9923|18534|8628|26268|64657|333|64990
20190815|1322|9959|18574|8743|26384|64982|375|65357
20190915|1334|10109|18594|8866|26499|65402|346|65748
20191015|1328|10101|18619|8982|26600|65630|331|65961
20191115|1336|10196|18642|9096|26691|65961|353|66314
20191215|1356|10258|18682|9225|26739|66260|340|66600
20200115|1367|10335|18711|9334|26799|66546|331|66877
20200215|1376|10368|18733|9458|26889|66824|347|67171
20200315|1386|10469|18744|9597|26987|67183|335|67518
20200415|1392|10557|18774|9742|27055|67520|324|67844
