# Prefix | Origin | NumMonitors | list(;):ObservedPrepends | resultingPolicy
0.0.0.0/0|136168|1|0|0
1.0.0.0/24|13335|29|0|0
1.0.4.0/22|56203|30|0|0
1.0.4.0/24|56203|31|0|0
1.0.5.0/24|56203|30|0|0
1.0.6.0/24|56203|30|0|0
1.0.7.0/24|56203|31|0|0
1.0.16.0/24|2519|20|0;1|2
1.0.64.0/18|18144|25|0|0
1.0.128.0/17|23969|31|0|0
1.0.128.0/18|23969|31|0|0
1.0.128.0/19|23969|31|0|0
1.0.128.0/24|23969|28|0|0
1.0.129.0/24|23969|31|0|0
1.0.131.0/24|23969|28|0|0
1.0.132.0/22|23969|29|0|0
1.0.136.0/24|23969|28|0|0
1.0.137.0/24|23969|28|0|0
1.0.139.0/24|23969|28|0|0
1.0.142.0/24|23969|28|0|0
1.0.143.0/24|23969|28|0|0
1.0.144.0/20|23969|29|0|0
1.0.160.0/19|23969|31|0|0
1.0.160.0/22|23969|29|0|0
1.0.164.0/24|23969|30|0|0
1.0.165.0/24|23969|28|0|0
1.0.166.0/24|23969|28|0|0
1.0.167.0/24|23969|28|0|0
1.0.168.0/22|23969|29|0|0
1.0.172.0/22|23969|29|0|0
1.0.176.0/20|23969|29|0|0
1.0.192.0/18|23969|31|0|0
1.0.192.0/19|23969|31|0|0
1.0.192.0/21|23969|29|0|0
1.0.200.0/24|23969|28|0|0
1.0.201.0/24|23969|28|0|0
1.0.202.0/24|23969|28|0|0
1.0.203.0/24|23969|28|0|0
1.0.204.0/22|23969|29|0|0
1.0.208.0/23|23969|29|0|0
1.0.210.0/23|23969|29|0|0
1.0.212.0/23|23969|29|0|0
1.0.214.0/24|23969|28|0|0
1.0.215.0/24|23969|28|0|0
1.0.220.0/24|23969|28|0|0
1.0.221.0/24|23969|28|0|0
1.0.223.0/24|23969|28|0|0
1.0.224.0/19|23969|31|0|0
1.0.240.0/21|23969|29|0|0
1.0.248.0/21|23969|29|0|0
1.1.1.0/24|13335|29|0|0
1.1.8.0/24|4134|21|0|0
1.1.20.0/24|133948|26|0|0
1.1.64.0/19|2519|21|0;1|2
1.1.103.0/24|2519|21|0;1|2
1.1.104.0/24|2519|21|0;1|2
1.1.105.0/24|2519|21|0;1|2
1.1.106.0/24|2519|21|0;1|2
1.1.107.0/24|2519|21|0;1|2
1.1.108.0/24|2519|21|0;1|2
1.1.109.0/24|2519|21|0;1|2
1.1.110.0/24|2519|21|0;1|2
1.1.111.0/24|2519|21|0;1|2
1.1.112.0/24|2519|21|0;1|2
1.1.113.0/24|2519|21|0;1|2
1.1.114.0/24|2519|21|0;1|2
1.1.115.0/24|2519|21|0;1|2
1.1.116.0/24|2519|21|0;1|2
1.1.117.0/24|2519|21|0;1|2
1.1.118.0/24|2519|21|0;1|2
1.1.119.0/24|2519|21|0;1|2
1.1.120.0/24|2519|21|0;1|2
1.1.121.0/24|2519|21|0;1|2
1.1.122.0/24|2519|21|0;1|2
1.1.123.0/24|2519|21|0;1|2
1.1.124.0/24|2519|21|0;1|2
1.1.125.0/24|2519|21|0;1|2
1.1.126.0/24|2519|21|0;1|2
1.1.127.0/24|2519|21|0;1|2
1.1.128.0/17|23969|31|0|0
1.1.128.0/18|23969|31|0|0
1.1.128.0/19|23969|31|0|0
1.1.128.0/21|23969|29|0|0
1.1.136.0/22|23969|29|0|0
1.1.140.0/24|23969|28|0|0
1.1.141.0/24|23969|28|0|0
1.1.142.0/23|23969|29|0|0
1.1.144.0/22|23969|29|0|0
1.1.148.0/22|23969|29|0|0
1.1.152.0/21|23969|29|0|0
1.1.160.0/19|23969|31|0|0
1.1.160.0/20|23969|31|0|0
1.1.176.0/22|23969|29|0|0
1.1.180.0/22|23969|29|0|0
1.1.184.0/22|23969|29|0|0
1.1.188.0/24|23969|28|0|0
1.1.189.0/24|23969|28|0|0
1.1.190.0/23|23969|29|0|0
1.1.192.0/18|23969|31|0|0
1.1.192.0/19|23969|31|0|0
1.1.192.0/21|23969|29|0|0
1.1.200.0/21|23969|29|0|0
1.1.208.0/21|23969|29|0|0
1.1.216.0/22|23969|29|0|0
1.1.220.0/24|23969|28|0|0
1.1.221.0/24|23969|28|0|0
1.1.222.0/24|23969|28|0|0
1.1.223.0/24|23969|28|0|0
1.1.224.0/19|23969|31|0|0
1.1.224.0/21|23969|29|0|0
1.1.232.0/21|23969|29|0|0
1.1.240.0/21|23969|29|0|0
1.1.248.0/24|23969|28|0|0
1.1.249.0/24|23969|28|0|0
1.1.250.0/24|23969|28|0|0
1.1.251.0/24|23969|28|0|0
1.1.252.0/24|23969|28|0|0
1.1.253.0/24|23969|28|0|0
1.1.254.0/23|23969|29|0|0
1.2.4.0/24|24409|2|0|0
1.2.11.0/24|18046|25|0|0
1.2.128.0/17|23969|31|0|0
1.2.128.0/18|23969|31|0|0
1.2.128.0/20|23969|31|0|0
1.2.144.0/20|23969|31|0|0
1.2.160.0/24|23969|28|0|0
1.2.162.0/24|23969|28|0|0
1.2.163.0/24|23969|28|0|0
1.2.164.0/24|23969|28|0|0
1.2.165.0/24|23969|28|0|0
1.2.166.0/24|23969|28|0|0
1.2.167.0/24|23969|28|0|0
1.2.168.0/24|23969|30|0|0
1.2.169.0/24|23969|30|0|0
1.2.170.0/24|23969|28|0|0
1.2.171.0/24|23969|28|0|0
1.2.172.0/24|23969|28|0|0
1.2.173.0/24|23969|28|0|0
1.2.174.0/24|23969|28|0|0
1.2.176.0/24|23969|28|0|0
1.2.178.0/24|23969|28|0|0
1.2.179.0/24|23969|28|0|0
1.2.180.0/24|23969|28|0|0
1.2.181.0/24|23969|28|0|0
1.2.182.0/24|23969|28|0|0
1.2.183.0/24|23969|28|0|0
1.2.184.0/24|23969|28|0|0
1.2.185.0/24|23969|28|0|0
1.2.186.0/24|23969|28|0|0
1.2.187.0/24|23969|28|0|0
1.2.188.0/23|23969|29|0|0
1.2.190.0/24|23969|28|0|0
1.2.191.0/24|23969|28|0|0
1.2.192.0/18|23969|31|0|0
1.2.192.0/20|23969|31|0|0
1.2.224.0/21|23969|29|0|0
1.2.232.0/22|23969|29|0|0
1.2.236.0/23|23969|29|0|0
1.2.238.0/24|23969|30|0|0
1.2.239.0/24|23969|28|0|0
1.2.240.0/21|23969|29|0|0
1.2.248.0/22|23969|29|0|0
1.2.254.0/23|23969|29|0|0
1.3.33.0/24|133741|22|0|0
1.3.34.0/24|133948|5|0|0
1.3.101.0/24|133948|24|0|0
1.4.128.0/17|23969|31|0|0
1.4.128.0/18|23969|31|0|0
1.4.128.0/19|23969|31|0|0
1.4.128.0/21|23969|29|0|0
1.4.136.0/22|23969|29|0|0
1.4.140.0/23|23969|29|0|0
1.4.142.0/23|23969|29|0|0
1.4.152.0/22|23969|29|0|0
1.4.156.0/24|23969|28|0|0
1.4.157.0/24|23969|30|0|0
1.4.158.0/24|23969|28|0|0
1.4.159.0/24|23969|28|0|0
1.4.160.0/20|23969|29|0|0
1.4.176.0/20|23969|29|0|0
1.4.192.0/18|23969|31|0|0
1.4.192.0/19|23969|31|0|0
1.4.192.0/22|23969|29|0|0
1.4.196.0/24|23969|28|0|0
1.4.197.0/24|23969|28|0|0
1.4.198.0/24|23969|30|0|0
1.4.200.0/22|23969|29|0|0
1.4.204.0/24|23969|28|0|0
1.4.206.0/24|23969|28|0|0
1.4.207.0/24|23969|28|0|0
1.4.208.0/23|23969|29|0|0
1.4.210.0/23|23969|29|0|0
1.4.212.0/22|23969|29|0|0
1.4.216.0/24|23969|28|0|0
1.4.217.0/24|23969|28|0|0
1.4.218.0/23|23969|29|0|0
1.4.220.0/22|23969|29|0|0
1.4.224.0/20|23969|29|0|0
1.4.240.0/21|23969|29|0|0
1.4.248.0/23|23969|29|0|0
1.4.250.0/23|23969|29|0|0
1.4.252.0/22|23969|29|0|0
1.5.0.0/16|4725|24|0|0
1.6.0.0/22|9583|28|0|0
1.6.4.0/22|9583|28|0|0
1.6.6.0/24|9583|20|0|0
1.6.8.0/22|9583|29|0|0
1.6.12.0/22|9583|29|0|0
1.6.16.0/22|9583|29|0|0
1.6.20.0/22|9583|29|0|0
1.6.24.0/22|9583|26|0|0
1.6.28.0/22|9583|26|0|0
1.6.32.0/22|9583|26|0|0
1.6.36.0/22|9583|27|0|0
1.6.40.0/22|9583|29|0|0
1.6.42.0/24|9583|20|0|0
1.6.44.0/22|9583|29|0|0
1.6.46.0/24|9583|20|0|0
1.6.48.0/22|9583|29|0|0
1.6.52.0/22|9583|29|0|0
1.6.56.0/22|9583|29|0|0
1.6.60.0/22|9583|29|0|0
1.6.64.0/22|9583|29|0|0
1.6.66.0/24|9583|29|0|0
1.6.67.0/24|9583|29|0|0
1.6.68.0/22|9583|29|0|0
1.6.72.0/22|9583|23|0|0
1.6.72.0/24|9583|29|0|0
1.6.73.0/24|9583|26|0|0
1.6.74.0/24|9583|26|0|0
1.6.75.0/24|9583|29|0|0
1.6.76.0/22|9583|25|0|0
1.6.80.0/22|9583|29|0|0
1.6.84.0/22|9583|29|0|0
1.6.88.0/22|9583|29|0|0
1.6.92.0/22|9583|29|0|0
1.6.96.0/22|9583|29|0|0
1.6.100.0/22|9583|29|0|0
1.6.104.0/22|9583|29|0|0
1.6.108.0/22|9583|29|0|0
1.6.112.0/22|9583|29|0|0
1.6.116.0/22|9583|29|0|0
1.6.120.0/22|9583|29|0|0
1.6.124.0/22|9583|29|0|0
1.6.128.0/22|9583|29|0|0
1.6.128.0/24|9583|20|0|0
1.6.132.0/23|9583|29|0|0
1.6.134.0/23|9583|29|0|0
1.6.136.0/22|9583|29|0|0
1.6.136.0/24|132215|29|0;4|2
1.6.138.0/24|9583|23|0|0
1.6.139.0/24|9583|20|0|0
1.6.140.0/22|9583|29|0|0
1.6.144.0/22|9583|29|0|0
1.6.144.0/24|9583|20|0|0
1.6.146.0/24|9583|20|0|0
1.6.148.0/22|9583|29|0|0
1.6.152.0/22|9583|29|0|0
1.6.156.0/22|9583|29|0|0
1.6.160.0/22|9583|29|0|0
1.6.161.0/24|9583|22|0|0
1.6.164.0/22|9583|29|0|0
1.6.168.0/22|9583|29|0|0
1.6.172.0/22|9583|29|0|0
1.6.176.0/22|9583|29|0|0
1.6.177.0/24|9583|22|0|0
1.6.180.0/22|9583|29|0|0
1.6.184.0/22|9583|28|0|0
1.6.188.0/22|9583|28|0|0
1.6.194.0/24|9583|20|0|0
1.6.195.0/24|9583|20|0|0
1.6.196.0/22|9583|20|0|0
1.6.197.0/24|9583|20|0|0
1.6.198.0/24|9583|20|0|0
1.6.199.0/24|9583|20|0|0
1.6.200.0/22|9583|20|0|0
1.6.200.0/24|9583|20|0|0
1.6.204.0/22|9583|22|0|0
1.6.208.0/22|9583|22|0|0
1.6.212.0/22|9583|22|0|0
1.6.220.0/22|9583|22|0|0
1.9.0.0/16|4788|29|0;1|2
1.10.72.0/24|133948|5|0|0
1.10.73.0/24|133948|5|0|0
1.10.99.0/24|138449|22|0|0
1.10.128.0/17|23969|31|0|0
1.10.128.0/24|23969|28|0|0
1.10.129.0/24|23969|28|0|0
1.10.131.0/24|23969|28|0|0
1.10.132.0/22|23969|31|0|0
1.10.132.0/24|23969|30|0|0
1.10.133.0/24|23969|30|0|0
1.10.134.0/24|23969|30|0|0
